Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
ETH,09/08/2015,0.909046,1.749289,1.91654,0.794497
ETH,10/08/2015,0.692321,0.909046,0.909046,0.692321
ETH,11/08/2015,0.668067,0.692321,0.692321,0.654331
ETH,12/08/2015,0.850151,0.668067,1.148621,0.668067
ETH,13/08/2015,1.266023,0.850151,1.266023,0.850151
ETH,14/08/2015,1.95146,1.266023,2.073329,1.149458
ETH,15/08/2015,1.591219,1.95146,2.225695,1.591219
ETH,16/08/2015,1.693707,1.591219,1.76886,1.591219
ETH,17/08/2015,1.423244,1.693707,1.693707,1.099489
ETH,18/08/2015,1.199595,1.423244,1.469168,1.19379
ETH,19/08/2015,1.182837,1.199595,1.336878,0.918462
ETH,20/08/2015,1.279549,1.182837,1.306265,1.161387
ETH,21/08/2015,1.447462,1.279549,1.520993,1.219
ETH,22/08/2015,1.36656,1.447462,1.53824,1.36656
ETH,23/08/2015,1.320872,1.36656,1.532008,1.320872
ETH,24/08/2015,1.374641,1.320872,1.416982,1.320872
ETH,25/08/2015,1.209496,1.374641,1.396274,1.161909
ETH,26/08/2015,1.054577,1.209496,1.209496,1.037515
ETH,27/08/2015,1.182596,1.054577,1.182596,1.054577
ETH,28/08/2015,1.15499,1.182596,1.182596,1.077896
ETH,29/08/2015,1.18735,1.15499,1.193085,1.15499
ETH,30/08/2015,1.129976,1.18735,1.188128,1.129976
ETH,31/08/2015,1.254864,1.129976,1.309973,1.129976
ETH,01/09/2015,1.334005,1.254864,1.344723,1.254864
ETH,02/09/2015,1.327498,1.334005,1.367081,1.31833
ETH,03/09/2015,1.293887,1.327498,1.346276,1.267851
ETH,04/09/2015,1.277428,1.293887,1.293887,1.204812
ETH,05/09/2015,1.272847,1.277428,1.282001,1.233946
ETH,06/09/2015,1.350303,1.272847,1.350303,1.272089
ETH,07/09/2015,1.283866,1.350303,1.350303,1.274404
ETH,08/09/2015,1.273887,1.283866,1.283866,1.21802
ETH,09/09/2015,1.22715,1.273887,1.273887,1.215209
ETH,10/09/2015,1.21412,1.22715,1.259248,1.204028
ETH,11/09/2015,1.133807,1.21412,1.227059,1.133807
ETH,12/09/2015,0.99657,1.133807,1.14258,0.949483
ETH,13/09/2015,1.057922,0.99657,1.1136,0.974123
ETH,14/09/2015,0.943382,1.057922,1.057922,0.909722
ETH,15/09/2015,0.895974,0.943382,0.943382,0.867949
ETH,16/09/2015,0.953877,0.895974,0.955146,0.873279
ETH,17/09/2015,0.908822,0.953877,0.953877,0.906807
ETH,18/09/2015,0.8584,0.908822,0.908822,0.839252
ETH,19/09/2015,0.852294,0.8584,0.877225,0.849413
ETH,20/09/2015,0.876125,0.852294,0.919179,0.84579
ETH,21/09/2015,0.9786,0.876125,0.9786,0.876125
ETH,22/09/2015,0.903632,0.9786,0.9786,0.881581
ETH,23/09/2015,0.902332,0.903632,0.908189,0.86095
ETH,24/09/2015,0.882362,0.902332,0.902332,0.882362
ETH,25/09/2015,0.823158,0.882362,0.895876,0.816895
ETH,26/09/2015,0.71822,0.823158,0.823158,0.71822
ETH,27/09/2015,0.786708,0.71822,0.786708,0.71822
ETH,28/09/2015,0.673928,0.786708,0.786708,0.672239
ETH,29/09/2015,0.587136,0.673928,0.706487,0.564015
ETH,30/09/2015,0.663342,0.587136,0.689453,0.57136
ETH,01/10/2015,0.74342,0.663342,0.745503,0.642378
ETH,02/10/2015,0.683352,0.74342,0.745952,0.671104
ETH,03/10/2015,0.673569,0.683352,0.692103,0.661651
ETH,04/10/2015,0.704391,0.673569,0.7139,0.673569
ETH,05/10/2015,0.674765,0.704391,0.704391,0.66864
ETH,06/10/2015,0.611915,0.674765,0.689198,0.599562
ETH,07/10/2015,0.627348,0.611915,0.638329,0.599981
ETH,08/10/2015,0.597617,0.627348,0.661092,0.597617
ETH,09/10/2015,0.647476,0.597617,0.664707,0.592353
ETH,10/10/2015,0.639178,0.647476,0.685514,0.635641
ETH,11/10/2015,0.622336,0.639178,0.655345,0.618771
ETH,12/10/2015,0.630986,0.622336,0.642055,0.615043
ETH,13/10/2015,0.615958,0.630986,0.653016,0.60686
ETH,14/10/2015,0.580101,0.615958,0.620675,0.579744
ETH,15/10/2015,0.520789,0.580101,0.596873,0.498348
ETH,16/10/2015,0.55132,0.520789,0.588001,0.520789
ETH,17/10/2015,0.523356,0.55132,0.569163,0.517624
ETH,18/10/2015,0.549124,0.523356,0.562939,0.519669
ETH,19/10/2015,0.518259,0.549124,0.549124,0.514057
ETH,20/10/2015,0.490581,0.518259,0.531293,0.481528
ETH,21/10/2015,0.490282,0.490581,0.498685,0.435848
ETH,22/10/2015,0.428394,0.490282,0.490282,0.420975
ETH,23/10/2015,0.561577,0.428394,0.61848,0.416424
ETH,24/10/2015,0.543105,0.561577,0.627261,0.51888
ETH,25/10/2015,0.555001,0.543105,0.580723,0.537017
ETH,26/10/2015,0.626306,0.555001,0.697249,0.555001
ETH,27/10/2015,0.810927,0.626306,0.828585,0.607537
ETH,28/10/2015,0.847653,0.810927,0.893183,0.762169
ETH,29/10/2015,0.96149,0.847653,1.044225,0.817823
ETH,30/10/2015,1.25408,0.96149,1.262674,0.959245
ETH,31/10/2015,0.9483,1.25408,1.298514,0.9483
ETH,01/11/2015,0.913563,0.9483,1.019727,0.885208
ETH,02/11/2015,1.068958,0.913563,1.098801,0.913563
ETH,03/11/2015,0.964695,1.068958,1.096842,0.94303
ETH,04/11/2015,1.018074,0.964695,1.137672,0.9353
ETH,05/11/2015,0.926706,1.018074,1.018074,0.664949
ETH,06/11/2015,0.878713,0.926706,0.998852,0.836172
ETH,07/11/2015,0.916739,0.878713,0.982814,0.833477
ETH,08/11/2015,0.933398,0.916739,0.958731,0.853144
ETH,09/11/2015,1.080845,0.933398,1.118672,0.919296
ETH,10/11/2015,0.989914,1.080845,1.115411,0.934984
ETH,11/11/2015,0.854742,0.989914,1.054931,0.847376
ETH,12/11/2015,0.784963,0.854742,0.914688,0.727007
ETH,13/11/2015,0.898162,0.784963,0.920047,0.776517
ETH,14/11/2015,0.904045,0.898162,0.907578,0.852449
ETH,15/11/2015,0.89712,0.904045,0.920012,0.89111
ETH,16/11/2015,0.938097,0.89712,0.945255,0.88722
ETH,17/11/2015,0.917747,0.938097,0.946953,0.891811
ETH,18/11/2015,0.970144,0.917747,1.037365,0.917747
ETH,19/11/2015,0.991469,0.970144,1.02602,0.948385
ETH,20/11/2015,0.93856,0.991469,1.006977,0.93856
ETH,21/11/2015,0.934916,0.93856,0.950411,0.908539
ETH,22/11/2015,0.976503,0.934916,0.99314,0.920551
ETH,23/11/2015,0.987436,0.976503,0.999522,0.960253
ETH,24/11/2015,0.943054,0.987436,0.987799,0.934047
ETH,25/11/2015,0.894563,0.943054,0.951031,0.882575
ETH,26/11/2015,0.85455,0.894563,0.894563,0.843559
ETH,27/11/2015,0.895359,0.85455,0.915154,0.79875
ETH,28/11/2015,0.889247,0.895359,0.925274,0.853843
ETH,29/11/2015,0.919118,0.889247,0.948679,0.877014
ETH,30/11/2015,0.862868,0.919118,0.919118,0.862677
ETH,01/12/2015,0.864777,0.862868,0.893453,0.846057
ETH,02/12/2015,0.84846,0.864777,0.908887,0.84846
ETH,03/12/2015,0.818644,0.84846,0.885959,0.792733
ETH,04/12/2015,0.831416,0.818644,0.831416,0.791274
ETH,05/12/2015,0.834368,0.831416,0.848164,0.797144
ETH,06/12/2015,0.862831,0.834368,0.877639,0.818719
ETH,07/12/2015,0.840918,0.862831,0.873745,0.816894
ETH,08/12/2015,0.793856,0.840918,0.840918,0.781239
ETH,09/12/2015,0.802668,0.793856,0.823954,0.779
ETH,10/12/2015,0.7904,0.802668,0.805131,0.7671
ETH,11/12/2015,0.831718,0.7904,0.872826,0.779175
ETH,12/12/2015,0.957485,0.831718,1.01464,0.81845
ETH,13/12/2015,0.970127,0.957485,1.01689,0.930644
ETH,14/12/2015,0.983037,0.970127,0.994716,0.933956
ETH,15/12/2015,0.992982,0.983037,1.011003,0.979943
ETH,16/12/2015,0.976204,0.992982,1.043387,0.976204
ETH,17/12/2015,0.980235,0.976204,1.003951,0.974974
ETH,18/12/2015,0.909203,0.980235,0.980235,0.905372
ETH,19/12/2015,0.902221,0.909203,0.926197,0.897221
ETH,20/12/2015,0.906143,0.902221,0.908537,0.877137
ETH,21/12/2015,0.909542,0.906143,0.941118,0.889829
ETH,22/12/2015,0.891691,0.909542,0.909542,0.882053
ETH,23/12/2015,0.860184,0.891691,0.911462,0.852992
ETH,24/12/2015,0.85239,0.860184,0.873594,0.834472
ETH,25/12/2015,0.859723,0.85239,0.88464,0.849792
ETH,26/12/2015,0.85956,0.859723,0.882166,0.853299
ETH,27/12/2015,0.872795,0.85956,0.924995,0.845424
ETH,28/12/2015,0.87006,0.872795,0.872795,0.84625
ETH,29/12/2015,0.845619,0.87006,0.870283,0.82871
ETH,30/12/2015,0.875728,0.845619,0.875728,0.832016
ETH,31/12/2015,0.959113,0.875728,0.966379,0.868565
ETH,01/01/2016,0.939963,0.959113,0.972882,0.927273
ETH,02/01/2016,0.954338,0.939963,0.954338,0.922537
ETH,03/01/2016,0.946475,0.954338,0.959271,0.946475
ETH,04/01/2016,0.964273,0.946475,0.982807,0.946475
ETH,05/01/2016,0.9592,0.964273,0.964273,0.925421
ETH,06/01/2016,0.945187,0.9592,0.961256,0.942383
ETH,07/01/2016,0.954133,0.945187,0.972207,0.935765
ETH,08/01/2016,0.971532,0.954133,0.975174,0.925752
ETH,09/01/2016,0.973215,0.971532,0.996168,0.953553
